repository_id,pull_request_number,full_divergence,python_divergence,delta,total_files,python_files,non_python_files,total_changes,python_changes,non_python_changes,non_python_ratio,non_python_change_ratio,module_count,documentation_files,configuration_files,test_files,assets_files,other_files
1,3232,0.5501083509562077,0.5389073526781645,-0.011200998278043217,5,4,1,140,138,2,0.2,0.014285714285714285,5,1,0,0,0,0
1,3233,0.5762949154072436,0.5762949154072436,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3234,0.930793734636269,0.930793734636269,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3235,0.6170610214847084,0.5937862905546181,-0.02327473093009036,3,2,1,24,22,2,0.3333333333333333,0.08333333333333333,3,1,0,0,0,0
1,3236,0.6354039865293106,0.6354039865293106,0.0,2,2,0,12,12,0,0.0,0.0,2,0,0,0,0,0
1,3237,0.7779195040907527,0.7779195040907527,0.0,3,3,0,68,68,0,0.0,0.0,3,0,0,0,0,0
1,3239,0.5025800646514131,0.5025800646514131,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3241,0.7357642795411161,0.7836203849326475,0.0478561053915314,28,21,7,228,178,50,0.25,0.21929824561403508,28,4,2,1,0,0
1,3242,0.6969173931965391,0.7038078411301577,0.006890447933618593,3,2,1,22,19,3,0.3333333333333333,0.13636363636363635,3,1,0,0,0,0
1,3244,0.6462308633221869,0.8431900805674104,0.19695921724522347,2,1,1,8,3,5,0.5,0.625,2,1,0,0,0,0
1,3245,0.7535930088739402,0.7338496974980953,-0.019743311375844952,22,21,1,10,6,4,0.045454545454545456,0.4,21,0,1,0,0,0
1,3246,0.7300787089330268,0.7447704276289747,0.014691718695947875,56,55,1,537,528,9,0.017857142857142856,0.01675977653631285,56,0,1,0,0,0
1,3247,0.921025131367013,0.921025131367013,0.0,10,10,0,35,35,0,0.0,0.0,10,0,0,0,0,0
1,3248,0.6348887706687294,0.6348887706687294,0.0,1,1,0,48,48,0,0.0,0.0,1,0,0,0,0,0
